0.00	1.0							
0.45	0.5454545454545454							
0.90	0.29752066115702475							
0.135	0.16228399699474075							
0.180	0.08851854381531313							
0.225	0.048282842081079885							
0.270	0.026336095680589026						point	func
0.315	0.014365143098503104						0	1
0.360	0.007835532599183511						0.45	0.545
0.405	0.004273926872281915						0.90	0.297
0.450	0.002331232839426499						0.135	0.1622
0.495	0.0012715815487780904						0.180	0.0885
0.540	6.935899356971402E-4						0.225	0.0482
0.585	3.78321783107531E-4						0.270	0.02633
0.630	2.0635733624047145E-4						0.315	0.0146
0.675	1.1255854704025714E-4						0.360	0.00783
0.720	6.139557111286753E-5						0.405	0.00427
0.765	3.348849333429138E-5						0.450	0.0023
0.810	1.826645090961348E-5						0.495	0.0012715815487780904
0.855	9.96351867797099E-6						0.540	6.935899356971402E-4
0.900	5.434646551620539E-6						0.585	3.78321783107531E-4
0.945	2.964352664520294E-6						0.630	2.0635733624047145E-4
0.990							0.675	1.1255854704025714E-4
0.1035							0.720	6.139557111286753E-5
0.1080							0.765	3.348849333429138E-5
							0.810	1.826645090961348E-5
							0.855	9.96351867797099E-6
							0.900	5.434646551620539E-6
							0.945	2.964352664520294E-6
							point	func
