Point;Real Func;Me Func;Me Func x2;;Point;Difference1;Difference2
0,001;3,000;3,000;3,000;;0,001;0,000;0,000;
0,201;3,000;3,046;2,982;;0,201;0,046;0,018;
0,401;3,000;3,010;3,053;;0,401;0,010;0,053;
0,601;3,000;2,840;2,892;;0,601;0,160;0,108;
0,801;3,000;2,874;3,148;;0,801;0,126;0,148;
1,001;3,000;3,238;2,932;;1,001;0,238;0,068;
1,201;3,000;3,372;2,799;;1,201;0,372;0,201;
1,401;3,000;3,140;3,346;;1,401;0,140;0,346;
1,601;3,000;2,829;3,274;;1,601;0,171;0,274;
1,801;3,000;2,026;2,394;;1,801;0,974;0,606;
2,001;1,000;1,725;1,571;;2,001;0,725;0,571;
2,201;1,000;1,266;1,165;;2,201;0,266;0,165;
2,401;1,000;1,163;1,035;;2,401;0,163;0,035;
2,601;1,000;1,041;1,006;;2,601;0,041;0,006;
2,801;1,000;1,022;1,001;;2,801;0,022;0,001;
3,001;1,000;1,004;1,000;;3,001;0,004;0,000;
3,201;1,000;1,002;1,000;;3,201;0,002;0,000;
3,401;1,000;1,000;1,000;;3,401;0,000;0,000;
3,601;1,000;1,000;1,000;;3,601;0,000;0,000;
3,801;1,000;1,000;1,000;;3,801;0,000;0,000;
4,001;1,000;1,000;1,000;;4,001;0,000;0,000;
4,201;1,000;1,000;1,000;;4,201;0,000;0,000;
4,401;1,000;1,000;1,000;;4,401;0,000;0,000;
4,601;1,000;1,000;1,000;;4,601;0,000;0,000;
4,801;1,000;1,000;1,000;;4,801;0,000;0,000;
5,001;1,000;1,000;1,000;;5,001;0,000;0,000;
5,201;1,000;1,000;1,000;;5,201;0,000;0,000;
5,401;1,000;1,000;1,000;;5,401;0,000;0,000;
5,601;1,000;1,000;1,000;;5,601;0,000;0,000;
5,801;1,000;1,000;1,000;;5,801;0,000;0,000;
6,001;1,000;1,000;1,000;;6,001;0,000;0,000;
6,201;1,000;1,000;1,000;;6,201;0,000;0,000;
6,401;1,000;1,000;1,000;;6,401;0,000;0,000;
6,601;1,000;1,000;1,000;;6,601;0,000;0,000;
6,801;1,000;1,000;1,000;;6,801;0,000;0,000;
7,001;1,000;1,000;1,000;;7,001;0,000;0,000;
7,201;1,000;1,000;1,000;;7,201;0,000;0,000;
7,401;1,000;1,000;1,000;;7,401;0,000;0,000;
7,601;1,000;1,000;1,000;;7,601;0,000;0,000;
7,801;1,000;1,000;1,000;;7,801;0,000;0,000;
8,001;1,000;1,000;1,000;;8,001;0,000;0,000;
8,201;1,000;1,000;1,000;;8,201;0,000;0,000;
8,401;1,000;1,000;1,000;;8,401;0,000;0,000;
8,601;1,000;1,000;1,000;;8,601;0,000;0,000;
8,801;1,000;1,000;1,000;;8,801;0,000;0,000;
9,001;1,000;1,000;1,000;;9,001;0,000;0,000;
9,201;1,000;1,000;1,000;;9,201;0,000;0,000;
9,401;1,000;1,000;1,000;;9,401;0,000;0,000;
9,601;1,000;1,000;1,000;;9,601;0,000;0,000;
9,801;1,000;1,000;1,000;;9,801;0,000;0,000;
