Point;Real Func;Me Func;Me Func x2
0,001;3,000;3,000;3,000;
0,181;3,000;3,432;2,854;
0,361;3,000;2,188;3,618;
0,541;1,000;3,714;3,404;
0,721;1,000;2,216;1,546;
0,901;1,000;1,015;1,184;
1,081;1,000;1,000;1,008;
1,261;1,000;1,000;1,002;
1,441;1,000;1,000;1,000;
1,621;1,000;1,000;1,000;
1,801;1,000;1,000;1,000;
1,981;1,000;1,000;1,000;
2,161;1,000;1,000;1,000;
2,341;1,000;1,000;1,000;
2,521;1,000;1,000;1,000;
2,701;1,000;1,000;1,000;
2,881;1,000;1,000;1,000;
3,061;1,000;1,000;1,000;
3,241;1,000;1,000;1,000;
3,421;1,000;1,000;1,000;
3,601;1,000;1,000;1,000;
3,781;1,000;1,000;1,000;
3,961;1,000;1,000;1,000;
4,141;1,000;1,000;1,000;
4,321;1,000;1,000;1,000;
4,501;1,000;1,000;1,000;
4,681;1,000;1,000;1,000;
4,861;1,000;1,000;1,000;
5,041;1,000;1,000;1,000;
5,221;1,000;1,000;1,000;
5,401;1,000;1,000;1,000;
5,581;1,000;1,000;1,000;
5,761;1,000;1,000;1,000;
5,941;1,000;1,000;1,000;
6,121;1,000;1,000;1,000;
6,301;1,000;1,000;1,000;
6,481;1,000;1,000;1,000;
6,661;1,000;1,000;1,000;
6,841;1,000;1,000;1,000;
7,021;1,000;1,000;1,000;
7,201;1,000;1,000;1,000;
7,381;1,000;1,000;1,000;
7,561;1,000;1,000;1,000;
7,741;1,000;1,000;1,000;
7,921;1,000;1,000;1,000;
8,101;1,000;1,000;1,000;
8,281;1,000;1,000;1,000;
8,461;1,000;1,000;1,000;
8,641;1,000;1,000;1,000;
8,821;1,000;1,000;1,000;
