Point;Real Func;Me Func;Me Func x2;Difference
0,001;0,000;0,000;0,000;0,000
0,201;0,000;-0,043;0,000;0,043
0,401;0,000;-0,002;0,000;0,002
0,601;0,000;-0,036;0,000;0,036
0,801;0,000;-0,003;0,000;0,003
1,001;0,000;-0,022;0,000;0,022
1,201;0,000;-0,004;0,000;0,004
1,401;0,000;-0,005;0,000;0,005
1,601;0,000;-0,213;-0,000;0,213
1,801;0,000;0,213;0,000;0,213
2,001;0,000;0,213;-0,000;0,213
2,201;0,000;-0,213;0,000;0,213
2,401;0,000;-0,213;-0,000;0,213
2,601;0,000;0,213;0,000;0,213
2,801;0,000;0,213;-0,000;0,213
3,001;0,000;-0,213;0,000;0,213
3,201;0,000;-0,213;-0,000;0,213
3,401;0,000;0,213;0,000;0,213
3,601;0,208;0,213;-0,000;0,005
3,801;0,407;0,203;0,416;0,204
4,001;0,588;0,601;0,398;0,013
4,201;0,743;0,972;0,778;0,229
4,401;0,866;0,885;0,708;0,019
4,601;0,951;0,760;1,024;0,191
4,801;0,995;1,017;0,878;0,022
5,001;0,995;1,229;1,111;0,235
5,201;0,951;0,972;0,878;0,021
5,401;0,866;0,673;1,024;0,193
5,601;0,743;0,760;0,708;0,017
5,801;0,588;0,814;0,778;0,226
6,001;0,407;0,416;0,398;0,009
6,201;0,208;0,000;0,416;0,208
6,401;0,000;0,000;0,000;0,000
6,601;0,000;0,000;0,000;0,000
6,801;0,000;0,000;0,000;0,000
7,001;0,000;0,000;0,000;0,000
7,201;0,000;0,000;0,000;0,000
7,401;0,000;0,000;0,000;0,000
7,601;0,000;0,000;0,000;0,000
7,801;0,000;0,000;0,000;0,000
8,001;0,000;0,000;0,000;0,000
8,201;0,000;0,000;0,000;0,000
8,401;0,000;0,000;0,000;0,000
8,601;0,000;0,000;0,000;0,000
8,801;0,000;0,000;0,000;0,000
9,001;0,000;0,000;0,000;0,000
9,201;0,000;0,000;0,000;0,000
9,401;0,000;0,000;0,000;0,000
9,601;0,000;0,000;0,000;0,000
9,801;0,000;0,000;0,000;0,000
