Point;Real Func;Me Func;Me Func x2;Difference
0,001;0,000;0,000;0,000;0,000
0,201;0,000;0,000;0,000;0,000
0,401;0,000;0,000;0,000;0,000
0,601;0,000;0,000;0,000;0,000
0,801;0,000;0,000;0,000;0,000
1,001;0,000;0,000;0,000;0,000
1,201;0,000;0,000;0,000;0,000
1,401;0,000;0,000;0,000;0,000
1,601;0,000;0,000;0,000;0,000
1,801;0,000;0,000;0,000;0,000
2,001;0,000;0,000;0,000;0,000
2,201;0,000;0,000;0,000;0,000
2,401;0,000;0,000;0,000;0,000
2,601;0,000;0,000;0,000;0,000
2,801;0,000;0,000;0,000;0,000
3,001;0,000;0,000;0,000;0,000
3,201;0,000;0,208;0,208;0,208
3,401;0,000;0,407;0,407;0,407
3,601;0,208;0,588;0,588;0,588
3,801;0,407;0,743;0,743;0,743
4,001;0,588;0,866;0,866;0,866
4,201;0,743;0,951;0,951;0,951
4,401;0,866;0,995;0,995;0,995
4,601;0,951;0,995;0,995;0,995
4,801;0,995;0,951;0,951;0,951
5,001;0,995;0,866;0,866;0,866
5,201;0,951;0,743;0,743;0,743
5,401;0,866;0,588;0,588;0,588
5,601;0,743;0,407;0,407;0,407
5,801;0,588;0,208;0,208;0,208
6,001;0,407;0,000;0,000;0,000
6,201;0,208;0,000;0,000;0,000
6,401;0,000;0,000;0,000;0,000
6,601;0,000;0,000;0,000;0,000
6,801;0,000;0,000;0,000;0,000
7,001;0,000;0,000;0,000;0,000
7,201;0,000;0,000;0,000;0,000
7,401;0,000;0,000;0,000;0,000
7,601;0,000;0,000;0,000;0,000
7,801;0,000;0,000;0,000;0,000
8,001;0,000;0,000;0,000;0,000
8,201;0,000;0,000;0,000;0,000
8,401;0,000;0,000;0,000;0,000
8,601;0,000;0,000;0,000;0,000
8,801;0,000;0,000;0,000;0,000
9,001;0,000;0,000;0,000;0,000
9,201;0,000;0,000;0,000;0,000
9,401;0,000;0,000;0,000;0,000
9,601;0,000;0,000;0,000;0,000
9,801;0,000;0,000;0,000;0,000
