Point;Me Func;Me Func x2
0,001;-0,000;0,000;
0,201;-0,000;0,000;
0,401;-0,000;-0,000;
0,601;-0,000;-0,000;
0,801;-0,002;-0,000;
1,001;-0,035;-0,018;
1,201;0,072;0,069;
1,401;0,140;0,137;
1,601;0,210;0,205;
1,801;0,279;0,273;
2,001;0,348;0,340;
2,201;0,414;0,407;
2,401;0,483;0,473;
2,601;0,547;0,538;
2,801;0,598;0,600;
3,001;0,706;0,650;
3,201;0,673;0,702;
3,401;0,825;0,801;
3,601;0,878;0,861;
3,801;0,736;0,803;
4,001;1,019;1,009;
4,201;1,099;0,944;
4,401;0,478;0,720;
4,601;0,047;0,002;
4,801;0,000;0,000;
5,001;0,000;0,000;
5,201;0,000;0,000;
5,401;0,000;0,000;
5,601;0,000;0,000;
5,801;0,000;0,000;
6,001;0,000;0,000;
6,201;0,000;0,000;
6,401;0,000;0,000;
6,601;0,000;0,000;
6,801;0,000;0,000;
7,001;0,000;0,000;
7,201;0,000;0,000;
7,401;0,000;0,000;
7,601;0,000;0,000;
7,801;0,000;0,000;
8,001;0,000;0,000;
8,201;0,000;0,000;
8,401;0,000;0,000;
8,601;0,000;0,000;
8,801;0,000;0,000;
9,001;0,000;0,000;
9,201;0,000;0,000;
9,401;0,000;0,000;
9,601;0,000;0,000;
9,801;0,000;0,000;
