Point;Me Func;Me Func x2;Difference
0,001;0,000;0,000;0,000
0,201;-0,000;0,000;0,000
0,401;-0,000;-0,000;0,000
0,601;-0,000;-0,000;0,000
0,801;-0,000;-0,000;0,000
1,001;-0,024;-0,014;0,024
1,201;0,107;0,102;0,070
1,401;0,206;0,205;0,107
1,601;0,305;0,306;0,121
1,801;0,404;0,405;0,121
2,001;0,501;0,501;0,111
2,201;0,596;0,595;0,094
2,401;0,687;0,684;0,075
2,601;0,772;0,767;0,053
2,801;0,849;0,844;0,033
3,001;0,917;0,911;0,015
3,201;0,971;0,964;0,000
3,401;0,996;0,997;0,001
3,601;1,046;0,998;0,061
3,801;0,876;0,965;0,587
4,001;0,292;0,286;0,292
4,201;0,016;0,000;0,016
4,401;0,000;0,000;0,000
4,601;0,000;0,000;0,000
4,801;0,000;0,000;0,000
5,001;0,000;0,000;0,000
5,201;0,000;0,000;0,000
5,401;0,000;0,000;0,000
5,601;0,000;0,000;0,000
5,801;0,000;0,000;0,000
6,001;0,000;0,000;0,000
6,201;0,000;0,000;0,000
6,401;0,000;0,000;0,000
6,601;0,000;0,000;0,000
6,801;0,000;0,000;0,000
7,001;0,000;0,000;0,000
7,201;0,000;0,000;0,000
7,401;0,000;0,000;0,000
7,601;0,000;0,000;0,000
7,801;0,000;0,000;0,000
8,001;0,000;0,000;0,000
8,201;0,000;0,000;0,000
8,401;0,000;0,000;0,000
8,601;0,000;0,000;0,000
8,801;0,000;0,000;0,000
9,001;0,000;0,000;0,000
9,201;0,000;0,000;0,000
9,401;0,000;0,000;0,000
9,601;0,000;0,000;0,000
9,801;0,000;0,000;0,000
